"","_id","operator_registration_number","postal_code","ward_number","ward_name"
"5635",1733612,"STR-2208-GHMVHF","M5J","10","Spadina-Fort York"
"5636",1733613,"STR-2208-GQTVHG","M5V","10","Spadina-Fort York"
"5637",1733614,"STR-2208-GXZVHH","M5V","10","Spadina-Fort York"
"5638",1733615,"STR-2208-HGGVHJ","M4S","12","Toronto-St. Paul's"
"5639",1733616,"STR-2208-FSRHHC","M2N","18","Willowdale"
"5640",1733617,"STR-2208-FZXHHD","M5V","10","Spadina-Fort York"
"5641",1733618,"STR-2208-GJDHHF","M2K","17","Don Valley North"
"5642",1733619,"STR-2208-GRKHHG","M4R","08","Eglinton-Lawrence"
"5643",1733620,"STR-2208-GYRHHH","M5J","10","Spadina-Fort York"
"5644",1733621,"STR-2208-HGXHHJ","M6P","09","Davenport"
"5645",1733622,"STR-2208-HQDHHK","M6S","04","Parkdale-High Park"
"5646",1733623,"STR-2208-HXKHHL","M2N","18","Willowdale"
"5647",1733624,"STR-2208-JFRHHM","M5V","10","Spadina-Fort York"
"5648",1733625,"STR-2208-FKZVHB","M8Y","03","Etobicoke-Lakeshore"
"5649",1733626,"STR-2208-FTGVHC","M4W","11","University-Rosedale"
"5650",1733627,"STR-2208-GJTVHF","M5S","11","University-Rosedale"
"5651",1733628,"STR-2208-GZGVHH","M2M","18","Willowdale"
"5652",1733629,"STR-2208-HHMVHJ","M1B","25","Scarborough-Rouge Park"
"5653",1733630,"STR-2208-HQTVHK","M6G","11","University-Rosedale"
"5654",1733631,"STR-2208-HXZVHL","M5J","10","Spadina-Fort York"
"5655",1733632,"STR-2208-JGGVHM","M9A","02","Etobicoke Centre"
"5656",1733633,"STR-2208-FLRHHB","M1R","21","Scarborough Centre"
"5657",1733634,"STR-2208-FTXHHC","M5V","10","Spadina-Fort York"
"5658",1733635,"STR-2208-GCDHHD","M1E","24","Scarborough-Guildwood"
"5659",1733636,"STR-2208-GKKHHF","M5V","10","Spadina-Fort York"
"5660",1733637,"STR-2208-GZXHHH","M1P","21","Scarborough Centre"
"5661",1733638,"STR-2208-HJDHHJ","M6K","04","Parkdale-High Park"
"5662",1733639,"STR-2208-HRKHHK","M1R","21","Scarborough Centre"
"5663",1733640,"STR-2208-HYRHHL","M6P","04","Parkdale-High Park"
"5664",1733641,"STR-2208-JGXHHM","M1K","20","Scarborough Southwest"
"5665",1733642,"STR-2208-FFCBHB","M9N","5.0","York South-Weston"
