"","postal_code","ward_name"
"333","M1N","Scarborough Southwest"
"334","M5V","Spadina-Fort York"
"335","M5T","University-Rosedale"
"336","M5J","Spadina-Fort York"
"337","M5A","Toronto Centre"
"338","M2R","York Centre"
"339","M5V","Spadina-Fort York"
"340","M5J","Spadina-Fort York"
"341","M6M","York South-Weston"
"342","M5A","Spadina-Fort York"
"343","M4L","Beaches-East York"
"344","M5V","Spadina-Fort York"
"345","M4N","Don Valley West"
"346","M4X","Toronto Centre"
"347","M1C","Scarborough-Rouge Park"
"348","M6G","University-Rosedale"
"349","M4J","Toronto-Danforth"
"350","M4W","University-Rosedale"
"351","M6K","Davenport"
"352","M6P","Parkdale-High Park"
"353","M6N","York South-Weston"
"354","M9V","Etobicoke North"
"355","M6J","University-Rosedale"
"356","M8V","Etobicoke-Lakeshore"
"357","M9R","Etobicoke North"
"358","M5T","Spadina-Fort York"
"359","M9P","Etobicoke Centre"
"360","M5B","Toronto Centre"
"361","M4L","Toronto-Danforth"
"362","M6H","Davenport"
"363","M4M","Toronto-Danforth"
"364","M1E","Scarborough-Guildwood"
"365","M4P","Don Valley West"
"366","M5V","Spadina-Fort York"
"367","M6J","Spadina-Fort York"
"368","M5J","Spadina-Fort York"
"369","M5J","Spadina-Fort York"
"370","M4L","Beaches-East York"
"371","M6J","Spadina-Fort York"
"372","M4M","Toronto-Danforth"
"373","M2N","Willowdale"
"374","M5J","Spadina-Fort York"
"375","M9C","Etobicoke Centre"
"376","M5J","Spadina-Fort York"
"377","M2N","Willowdale"
"378","M6S","Parkdale-High Park"
"379","M9P","Etobicoke Centre"
"380","M5V","Spadina-Fort York"
"381","M4S","St.Paul's"
"382","M6J","Spadina-Fort York"
"383","M6G","University-Rosedale"
"384","M6J","Davenport"
"385","M2N","Willowdale"
"386","M9N","York South-Weston"
"387","M5V","Spadina-Fort York"
"388","M4B","Beaches-East York"
"389","M4L","Toronto-Danforth"
"390","M8Z","Etobicoke-Lakeshore"
"391","M6K","Spadina-Fort York"
"392","M6B","Eglinton-Lawrence"
"393","M5J","Spadina-Fort York"
"394","M4C","Beaches-East York"
"395","M5J","Spadina-Fort York"
"396","M1B","Scarborough-Rouge Park"
"397","M2H","Don Valley North"
"398","M4L","Beaches-East York"
"399","M6J","Spadina-Fort York"
"400","M6R","Parkdale-High Park"
"401","M5V","Spadina-Fort York"
"402","M3H","York Centre"
"403","M6K","Parkdale-High Park"
"404","M4L","Beaches-East York"
"405","M5V","Spadina-Fort York"
"406","M6K","Spadina-Fort York"
"407","M4J","Toronto-Danforth"
"408","M6J","University-Rosedale"
"409","M9R","Etobicoke Centre"
"410","M8V","Etobicoke-Lakeshore"
"411","M4J","Toronto-Danforth"
"412","M5T","University-Rosedale"
"413","M5T","University-Rosedale"
"414","M5E","Spadina-Fort York"
"415","M5R","University-Rosedale"
"416","M2H","Don Valley North"
"417","M4L","Toronto-Danforth"
"418","M4N","Don Valley West"
"419","M4L","Toronto-Danforth"
"420","M5V","Spadina-Fort York"
"421","M4G","Don Valley West"
"422","M3H","York Centre"
"423","M4C","Beaches-East York"
"424","M4S","St.Paul's"
"425","M5V","Spadina-Fort York"
"426","M4W","University-Rosedale"
"427","M8V","Etobicoke-Lakeshore"
"428","M3N","Humber River-Black Creek"
"429","M1R","Scarborough Centre"
"430","M5J","Spadina-Fort York"
"431","M4J","Toronto-Danforth"
"432","M4Y","Toronto Centre"
"433","M5J","Spadina-Fort York"
"434","M6J","Davenport"
"435","M9L","Humber River-Black Creek"
"436","M3B","Don Valley West"
"437","M5V","Spadina-Fort York"
"438","M4L","Beaches-East York"
"439","M4E","Beaches-East York"
"440","M6E","St.Paul's"
"441","M5J","Spadina-Fort York"
"442","M6S","Parkdale-High Park"
"443","M6K","Spadina-Fort York"
"444","M6J","Spadina-Fort York"
"445","M5V","Spadina-Fort York"
"446","M4E","Beaches-East York"
"447","M6S","Parkdale-High Park"
"448","M5J","Spadina-Fort York"
"449","M2N","Willowdale"
"450","M6P","Parkdale-High Park"
"451","M2J","Don Valley North"
"452","M5J","Spadina-Fort York"
"453","M1P","Scarborough Centre"
"454","M1L","Scarborough Southwest"
"455","M4J","Toronto-Danforth"
"456","M4Y","Toronto Centre"
"457","M6J","University-Rosedale"
"458","M6R","Parkdale-High Park"
"459","M5V","Spadina-Fort York"
"460","M5J","Spadina-Fort York"
"461","M4B","Beaches-East York"
"462","M5V","Spadina-Fort York"
"463","M3H","York Centre"
"464","M6K","Davenport"
"465","M3H","York Centre"
"466","M5J","Spadina-Fort York"
"467","M9R","Etobicoke North"
"468","M5J","Spadina-Fort York"
"469","M5J","Spadina-Fort York"
"470","M5S","University-Rosedale"
"471","M6G","St.Paul's"
"472","M6H","Davenport"
"473","M6J","Spadina-Fort York"
"474","M1J","Scarborough Centre"
"475","M5V","Spadina-Fort York"
"476","M6S","Parkdale-High Park"
"477","M5V","Spadina-Fort York"
"478","M5B","Toronto Centre"
"479","M5V","Spadina-Fort York"
"480","M4K","Toronto-Danforth"
"481","M5V","Spadina-Fort York"
"482","M6B","Eglinton-Lawrence"
"483","M6P","Parkdale-High Park"
"484","M6R","Parkdale-High Park"
"485","M5R","St.Paul's"
"486","M6S","Parkdale-High Park"
"487","M4M","Toronto-Danforth"
"488","M5J","Spadina-Fort York"
"489","M2N","Willowdale"
"490","M4M","Toronto-Danforth"
"491","M4Y","Toronto Centre"
"492","M6K","Parkdale-High Park"
"493","M4M","Toronto-Danforth"
"494","M4J","Toronto-Danforth"
"495","M9B","Etobicoke Centre"
"496","M4L","Beaches-East York"
"497","M3A","Don Valley East"
"498","M6R","Parkdale-High Park"
"499","M9L","Humber River-Black Creek"
"500","M9C","Etobicoke Centre"
"501","M6R","Parkdale-High Park"
"502","M5J","Spadina-Fort York"
"503","M5R","University-Rosedale"
"504","M6G","University-Rosedale"
"505","M6J","Davenport"
"506","M5V","Spadina-Fort York"
"507","M6P","Davenport"
"508","M5S","University-Rosedale"
"509","M8V","Etobicoke-Lakeshore"
"510","M2J","Don Valley North"
"511","M6P","Davenport"
"512","M4X","Toronto Centre"
"513","M1E","Scarborough-Guildwood"
"514","M6P","Parkdale-High Park"
"515","M6G","University-Rosedale"
"516","M1W","Scarborough-Agincourt"
"517","M6J","Davenport"
"518","M3A","Don Valley East"
"519","M5J","Spadina-Fort York"
"520","M4B","Beaches-East York"
"521","M1T","Scarborough-Agincourt"
"522","M4M","Toronto-Danforth"
"523","M6R","Parkdale-High Park"
"524","M2R","Willowdale"
"525","M4K","Toronto-Danforth"
"526","M4C","Beaches-East York"
"527","M5V","Spadina-Fort York"
"528","M6P","Parkdale-High Park"
"529","M5V","Spadina-Fort York"
"530","M4L","Toronto-Danforth"
"531","M9B","Etobicoke-Lakeshore"
"532","M5J","Spadina-Fort York"
"533","M5V","Spadina-Fort York"
"534","M1V","Scarborough-Agincourt"
"535","M8Y","Etobicoke-Lakeshore"
"536","M5J","Spadina-Fort York"
"537","M5J","Spadina-Fort York"
"538","M5J","Spadina-Fort York"
"539","M5V","Spadina-Fort York"
"540","M5J","Spadina-Fort York"
"541","M6G","University-Rosedale"
"542","M4R","Eglinton-Lawrence"
"543","M1H","Scarborough-Guildwood"
"544","M9R","Etobicoke Centre"
"545","M5B","Toronto Centre"
"546","M6M","York South-Weston"
"547","M4Y","Toronto Centre"
"548","M5V","Spadina-Fort York"
"549","M1K","Scarborough Centre"
"550","M2N","Willowdale"
"551","M5T","University-Rosedale"
"552","M5M","Eglinton-Lawrence"
"553","M3A","Don Valley East"
"554","M5V","Spadina-Fort York"
"555","M3A","Don Valley East"
"556","M4Y","Toronto Centre"
"557","M1K","Scarborough Southwest"
"558","M6H","Davenport"
"559","M4J","Toronto-Danforth"
"560","M4J","Toronto-Danforth"
"561","M8W","Etobicoke-Lakeshore"
"562","M6R","Parkdale-High Park"
"563","M4X","Toronto Centre"
"564","M5J","Spadina-Fort York"
"565","M5V","Spadina-Fort York"
"566","M1W","Scarborough-Agincourt"
"567","M5V","Spadina-Fort York"
"568","M5V","Spadina-Fort York"
"569","M1N","Scarborough Southwest"
"570","M6H","Davenport"
"571","M5S","University-Rosedale"
"572","M6G","University-Rosedale"
"573","M1P","Scarborough Centre"
"574","M6J","Spadina-Fort York"
"575","M2N","Willowdale"
"576","M6H","Davenport"
"577","M5V","Spadina-Fort York"
"578","M5V","Spadina-Fort York"
"579","M6J","University-Rosedale"
"580","M6K","Parkdale-High Park"
"581","M5V","Spadina-Fort York"
"582","M5B","Toronto Centre"
"583","M5J","Spadina-Fort York"
"584","M6H","Davenport"
"585","M4L","Beaches-East York"
"586","M5V","Spadina-Fort York"
"587","M2N","Willowdale"
"588","M4C","Beaches-East York"
"589","M1R","Scarborough Centre"
"590","M1G","Scarborough-Guildwood"
"591","M5V","Spadina-Fort York"
"592","M9C","Etobicoke Centre"
"593","M5S","University-Rosedale"
"594","M5V","Spadina-Fort York"
"595","M6C","St.Paul's"
"596","M6R","Parkdale-High Park"
"597","M2N","Willowdale"
"598","M4B","Beaches-East York"
"599","M4L","Toronto-Danforth"
"600","M5V","Spadina-Fort York"
"601","M5R","University-Rosedale"
"602","M3H","York Centre"
"603","M5J","Spadina-Fort York"
"604","M5J","Spadina-Fort York"
"605","M3K","York Centre"
"606","M5J","Spadina-Fort York"
"607","M9R","Etobicoke Centre"
"608","M5J","Spadina-Fort York"
"609","M3H","York Centre"
"610","M1T","Scarborough-Agincourt"
"611","M6J","Davenport"
"612","M5V","Spadina-Fort York"
"613","M4M","Toronto-Danforth"
"614","M5A","Toronto Centre"
"615","M5V","Spadina-Fort York"
"616","M1P","Scarborough Centre"
"617","M5V","Spadina-Fort York"
"618","M5J","Spadina-Fort York"
"619","M5V","Spadina-Fort York"
"620","M5V","Spadina-Fort York"
"621","M8Y","Etobicoke-Lakeshore"
"622","M4B","Beaches-East York"
"623","M6M","York South-Weston"
"624","M5J","Spadina-Fort York"
"625","M1V","Scarborough North"
"626","M5A","Toronto Centre"
"627","M6H","Davenport"
"628","M1M","Scarborough Southwest"
"629","M5J","Spadina-Fort York"
"630","M5V","Spadina-Fort York"
"631","M2N","Willowdale"
"632","M9L","Humber River-Black Creek"
"633","M6G","University-Rosedale"
"634","M6B","Eglinton-Lawrence"
"635","M5J","Spadina-Fort York"
"636","M6G","University-Rosedale"
"637","M5V","Spadina-Fort York"
"638","M6H","Davenport"
"639","M5V","Spadina-Fort York"
"640","M1C","Scarborough-Rouge Park"
"641","M5V","Spadina-Fort York"
"642","M4X","Toronto Centre"
"643","M6G","St.Paul's"
"644","M4M","Toronto-Danforth"
"645","M5V","Spadina-Fort York"
"646","M6R","Parkdale-High Park"
"647","M3M","York Centre"
"648","M1V","Scarborough North"
"649","M4V","St.Paul's"
"650","M4K","Toronto-Danforth"
"651","M5V","Spadina-Fort York"
"652","M6H","Davenport"
"653","M6L","York South-Weston"
"654","M5V","Spadina-Fort York"
"655","M1C","Scarborough-Rouge Park"
"656","M4W","University-Rosedale"
"657","M5J","Spadina-Fort York"
"658","M1E","Scarborough-Guildwood"
"659","M5J","Spadina-Fort York"
"660","M9B","Etobicoke Centre"
"661","M5J","Spadina-Fort York"
"662","M2N","Willowdale"
"663","M5V","Spadina-Fort York"
"664","M5A","Toronto Centre"
"665","M5V","Spadina-Fort York"
"666","M6N","York South-Weston"
"667","M5A","Toronto Centre"
"668","M6H","Davenport"
"669","M6K","Parkdale-High Park"
"670","M5R","University-Rosedale"
"671","M6J","University-Rosedale"
"672","M1C","Scarborough-Rouge Park"
"673","M1C","Scarborough-Rouge Park"
"674","M5T","University-Rosedale"
"675","M4B","Beaches-East York"
"676","M2L","Don Valley West"
"677","M5R","University-Rosedale"
"678","M5J","Spadina-Fort York"
"679","M5J","Spadina-Fort York"
"680","M6G","University-Rosedale"
"681","M6A","Eglinton-Lawrence"
"682","M6E","Davenport"
"683","M4R","Eglinton-Lawrence"
"684","M3A","Don Valley East"
"685","M6E","Davenport"
"686","M4R","Eglinton-Lawrence"
"687","M9C","Etobicoke Centre"
"688","M5R","University-Rosedale"
"689","M5V","Spadina-Fort York"
"690","M5A","Toronto Centre"
"691","M5J","Spadina-Fort York"
"692","M1T","Scarborough-Agincourt"
"693","M5T","University-Rosedale"
"694","M5V","Spadina-Fort York"
"695","M4J","Toronto-Danforth"
"696","M5T","Spadina-Fort York"
"697","M5V","Spadina-Fort York"
"698","M5J","Spadina-Fort York"
"699","M5R","University-Rosedale"
"700","M5B","Toronto Centre"
"701","M4C","Beaches-East York"
"702","M5R","University-Rosedale"
"703","M5R","University-Rosedale"
"704","M5R","University-Rosedale"
"705","M5A","Toronto Centre"
"706","M5V","Spadina-Fort York"
"707","M5V","Spadina-Fort York"
"708","M4V","St.Paul's"
"709","M5V","Spadina-Fort York"
"710","M5V","Spadina-Fort York"
"711","M4C","Beaches-East York"
"712","M1V","Scarborough-Agincourt"
"713","M6K","Parkdale-High Park"
"714","M2N","Willowdale"
"715","M5V","Spadina-Fort York"
"716","M4M","Toronto-Danforth"
"717","M4C","Beaches-East York"
"718","M6K","Davenport"
"719","M5R","University-Rosedale"
"720","M5V","Spadina-Fort York"
"721","M6A","Eglinton-Lawrence"
"722","M5V","Spadina-Fort York"
"723","M5J","Spadina-Fort York"
"724","M5V","Spadina-Fort York"
"725","M9W","Etobicoke North"
"726","M5B","Toronto Centre"
"727","M5V","Spadina-Fort York"
"728","M6J","Spadina-Fort York"
"729","M4Y","Toronto Centre"
"730","M5A","Toronto Centre"
"731","M5V","Spadina-Fort York"
"732","M6J","Spadina-Fort York"
"733","M6K","Davenport"
"734","M6S","Parkdale-High Park"
"735","M3A","Don Valley East"
"736","M5V","Spadina-Fort York"
"737","M6S","Parkdale-High Park"
"738","M6S","Parkdale-High Park"
"739","M6J","University-Rosedale"
"740","M6R","Parkdale-High Park"
"741","M4C","Beaches-East York"
"742","M5J","Spadina-Fort York"
"743","M4L","Toronto-Danforth"
"744","M6J","Davenport"
"745","M9P","Etobicoke Centre"
"746","M2M","Willowdale"
"747","M2H","Don Valley North"
"748","M6K","Spadina-Fort York"
"749","M8W","Etobicoke-Lakeshore"
"750","M5J","Spadina-Fort York"
"751","M5A","Toronto Centre"
"752","M6G","University-Rosedale"
"753","M5T","University-Rosedale"
"754","M5A","Toronto Centre"
"755","M6E","Davenport"
"756","M5V","Spadina-Fort York"
"757","M1R","Scarborough Centre"
"758","M6J","Davenport"
"759","M4Y","Toronto Centre"
"760","M5V","Spadina-Fort York"
"761","M6G","University-Rosedale"
"762","M4S","Don Valley West"
"763","M4J","Toronto-Danforth"
"764","M5V","Spadina-Fort York"
"765","M5V","Spadina-Fort York"
"766","M2M","Willowdale"
"767","M6N","York South-Weston"
"768","M2N","Willowdale"
"769","M1E","Scarborough-Rouge Park"
"770","M4Y","Toronto Centre"
"771","M4Y","Toronto Centre"
"772","M6E","Davenport"
"773","M6J","University-Rosedale"
"774","M5J","Spadina-Fort York"
"775","M6E","Eglinton-Lawrence"
"776","M9B","Etobicoke Centre"
"777","M6J","University-Rosedale"
"778","M2P","Don Valley West"
"779","M5V","Spadina-Fort York"
"780","M1B","Scarborough-Rouge Park"
"781","M3A","Don Valley East"
"782","M4L","Beaches-East York"
"783","M4L","Beaches-East York"
"784","M5V","Spadina-Fort York"
"785","M4M","Toronto-Danforth"
"786","M6K","Parkdale-High Park"
"787","M5T","University-Rosedale"
"788","M5V","Spadina-Fort York"
"789","M5J","Spadina-Fort York"
"790","M5R","University-Rosedale"
"791","M9W","Etobicoke North"
"792","M5V","Spadina-Fort York"
"793","M6H","Davenport"
"794","M4J","Toronto-Danforth"
"795","M5R","University-Rosedale"
"796","M5V","Spadina-Fort York"
"797","M2N","Willowdale"
"798","M5V","Spadina-Fort York"
"799","M5V","Spadina-Fort York"
"800","M4G","Don Valley West"
"801","M4C","Beaches-East York"
"802","M5V","Spadina-Fort York"
"803","M5V","Spadina-Fort York"
"804","M5V","Spadina-Fort York"
"805","M5V","Spadina-Fort York"
"806","M5A","Toronto Centre"
"807","M5R","University-Rosedale"
"808","M4C","Beaches-East York"
"809","M6H","Davenport"
"810","M3J","Humber River-Black Creek"
"811","M5V","Spadina-Fort York"
"812","M6E","Davenport"
"813","M5J","Spadina-Fort York"
"814","M4K","Toronto-Danforth"
"815","M2M","Willowdale"
"816","M5A","Toronto Centre"
"817","M4S","St.Paul's"
"818","M5C","Toronto Centre"
"819","M5V","Spadina-Fort York"
